<order:2, edges:1, delta:1, colors: 2, graph:1, type:0, time:0.000009>
<order:2, edges:1, delta:1, colors: 2, graph:1, type:1, time:0.000295>
<order:2, edges:1, delta:1, colors: 3, graph:1, type:2, time:0.000010>
<order:2, edges:1, delta:1, colors: 3, graph:1, type:3, time:0.000013>
<order:3, edges:2, delta:2, colors: 2, graph:1, type:0, time:0.000004>
<order:3, edges:2, delta:2, colors: 2, graph:1, type:1, time:0.000007>
<order:3, edges:2, delta:2, colors: 3, graph:1, type:2, time:0.000027>
<order:3, edges:2, delta:2, colors: 3, graph:1, type:3, time:0.000051>
<order:3, edges:3, delta:2, colors: 3, graph:2, type:0, time:0.000005>
<order:3, edges:3, delta:2, colors: 3, graph:2, type:1, time:0.000017>
<order:3, edges:3, delta:2, colors: 3, graph:2, type:2, time:0.000026>
<order:3, edges:3, delta:2, colors: 3, graph:2, type:3, time:0.000060>
<order:4, edges:3, delta:3, colors: 2, graph:1, type:0, time:0.000003>
<order:4, edges:3, delta:3, colors: 2, graph:1, type:1, time:0.000041>
<order:4, edges:3, delta:3, colors: 4, graph:1, type:2, time:0.000033>
<order:4, edges:3, delta:3, colors: 4, graph:1, type:3, time:0.000059>
<order:4, edges:3, delta:2, colors: 2, graph:2, type:0, time:0.000004>
<order:4, edges:3, delta:2, colors: 2, graph:2, type:1, time:0.000023>
<order:4, edges:3, delta:2, colors: 3, graph:2, type:2, time:0.000030>
<order:4, edges:3, delta:2, colors: 3, graph:2, type:3, time:0.000149>
<order:4, edges:4, delta:3, colors: 3, graph:3, type:0, time:0.000005>
<order:4, edges:4, delta:3, colors: 3, graph:3, type:1, time:0.000031>
<order:4, edges:4, delta:3, colors: 4, graph:3, type:2, time:0.000023>
<order:4, edges:4, delta:3, colors: 4, graph:3, type:3, time:0.000284>
<order:4, edges:4, delta:2, colors: 2, graph:4, type:0, time:0.000004>
<order:4, edges:4, delta:2, colors: 2, graph:4, type:1, time:0.000026>
<order:4, edges:4, delta:2, colors: 4, graph:4, type:2, time:0.000042>
<order:4, edges:4, delta:2, colors: 4, graph:4, type:3, time:0.000920>
<order:4, edges:5, delta:3, colors: 3, graph:5, type:0, time:0.000007>
<order:4, edges:5, delta:3, colors: 3, graph:5, type:1, time:0.000011>
<order:4, edges:5, delta:3, colors: 4, graph:5, type:2, time:0.000033>
<order:4, edges:5, delta:3, colors: 4, graph:5, type:3, time:0.002133>
<order:4, edges:6, delta:3, colors: 4, graph:6, type:0, time:0.000006>
<order:4, edges:6, delta:3, colors: 4, graph:6, type:1, time:0.000025>
<order:4, edges:6, delta:3, colors: 5, graph:6, type:2, time:0.000228>
<order:4, edges:6, delta:3, colors: 5, graph:6, type:3, time:0.021371>
<order:5, edges:4, delta:4, colors: 2, graph:1, type:0, time:0.000003>
<order:5, edges:4, delta:4, colors: 2, graph:1, type:1, time:0.000009>
<order:5, edges:4, delta:4, colors: 5, graph:1, type:2, time:0.000029>
<order:5, edges:4, delta:4, colors: 5, graph:1, type:3, time:0.000207>
<order:5, edges:4, delta:3, colors: 2, graph:2, type:0, time:0.000003>
<order:5, edges:4, delta:3, colors: 2, graph:2, type:1, time:0.000016>
<order:5, edges:4, delta:3, colors: 4, graph:2, type:2, time:0.000033>
<order:5, edges:4, delta:3, colors: 4, graph:2, type:3, time:0.000758>
<order:5, edges:5, delta:4, colors: 3, graph:3, type:0, time:0.000004>
<order:5, edges:5, delta:4, colors: 3, graph:3, type:1, time:0.000037>
<order:5, edges:5, delta:4, colors: 5, graph:3, type:2, time:0.000039>
<order:5, edges:5, delta:4, colors: 5, graph:3, type:3, time:0.002480>
<order:5, edges:5, delta:3, colors: 3, graph:4, type:0, time:0.000006>
<order:5, edges:5, delta:3, colors: 3, graph:4, type:1, time:0.000019>
<order:5, edges:5, delta:3, colors: 4, graph:4, type:2, time:0.000044>
<order:5, edges:5, delta:3, colors: 4, graph:4, type:3, time:0.010013>
<order:5, edges:5, delta:3, colors: 2, graph:5, type:0, time:0.000005>
<order:5, edges:5, delta:3, colors: 2, graph:5, type:1, time:0.000010>
<order:5, edges:5, delta:3, colors: 4, graph:5, type:2, time:0.000055>
<order:5, edges:5, delta:3, colors: 4, graph:5, type:3, time:0.007748>
<order:5, edges:6, delta:4, colors: 3, graph:6, type:0, time:0.000006>
<order:5, edges:6, delta:4, colors: 3, graph:6, type:1, time:0.000014>
<order:5, edges:6, delta:4, colors: 5, graph:6, type:2, time:0.000098>
<order:5, edges:6, delta:4, colors: 5, graph:6, type:3, time:0.035761>
<order:5, edges:6, delta:3, colors: 2, graph:7, type:0, time:0.000003>
<order:5, edges:6, delta:3, colors: 2, graph:7, type:1, time:0.000011>
<order:5, edges:6, delta:3, colors: 4, graph:7, type:2, time:0.000340>
<order:5, edges:6, delta:3, colors: 4, graph:7, type:3, time:0.038561>
<order:5, edges:7, delta:4, colors: 3, graph:8, type:0, time:0.000010>
<order:5, edges:7, delta:4, colors: 3, graph:8, type:1, time:0.000012>
<order:5, edges:7, delta:4, colors: 5, graph:8, type:2, time:0.000226>
<order:5, edges:7, delta:4, colors: 5, graph:8, type:3, time:8.528784>
<order:5, edges:4, delta:2, colors: 2, graph:9, type:0, time:0.000004>
<order:5, edges:4, delta:2, colors: 2, graph:9, type:1, time:0.000016>
<order:5, edges:4, delta:2, colors: 3, graph:9, type:2, time:0.000021>
<order:5, edges:4, delta:2, colors: 3, graph:9, type:3, time:0.000719>
<order:5, edges:5, delta:3, colors: 3, graph:10, type:0, time:0.000006>
<order:5, edges:5, delta:3, colors: 3, graph:10, type:1, time:0.000034>
<order:5, edges:5, delta:3, colors: 4, graph:10, type:2, time:0.000045>
<order:5, edges:5, delta:3, colors: 4, graph:10, type:3, time:0.007243>
<order:5, edges:6, delta:4, colors: 3, graph:11, type:0, time:0.000005>
<order:5, edges:6, delta:4, colors: 3, graph:11, type:1, time:0.000019>
<order:5, edges:6, delta:4, colors: 5, graph:11, type:2, time:0.000047>
<order:5, edges:6, delta:4, colors: 5, graph:11, type:3, time:0.744571>
<order:5, edges:6, delta:3, colors: 3, graph:12, type:0, time:0.000008>
<order:5, edges:6, delta:3, colors: 3, graph:12, type:1, time:0.000022>
<order:5, edges:6, delta:3, colors: 4, graph:12, type:2, time:0.000227>
<order:5, edges:6, delta:3, colors: 4, graph:12, type:3, time:0.035559>
<order:5, edges:7, delta:4, colors: 4, graph:13, type:0, time:0.000011>
<order:5, edges:7, delta:4, colors: 4, graph:13, type:1, time:0.000023>
<order:5, edges:7, delta:4, colors: 5, graph:13, type:2, time:0.000464>
<order:5, edges:7, delta:4, colors: 5, graph:13, type:3, time:0.355772>
<order:5, edges:5, delta:2, colors: 3, graph:14, type:0, time:0.000008>
<order:5, edges:5, delta:2, colors: 3, graph:14, type:1, time:0.000021>
<order:5, edges:5, delta:2, colors: 4, graph:14, type:2, time:0.000401>
<order:5, edges:5, delta:2, colors: 4, graph:14, type:3, time:0.008789>
<order:5, edges:6, delta:3, colors: 3, graph:15, type:0, time:0.000007>
<order:5, edges:6, delta:3, colors: 3, graph:15, type:1, time:0.000016>
<order:5, edges:6, delta:3, colors: 4, graph:15, type:2, time:0.000092>
<order:5, edges:6, delta:3, colors: 4, graph:15, type:3, time:0.034855>
<order:5, edges:7, delta:4, colors: 3, graph:16, type:0, time:0.000006>
<order:5, edges:7, delta:4, colors: 3, graph:16, type:1, time:0.000020>
<order:5, edges:7, delta:4, colors: 5, graph:16, type:2, time:0.000922>
<order:5, edges:7, delta:4, colors: 5, graph:16, type:3, time:0.277808>
<order:5, edges:8, delta:4, colors: 4, graph:17, type:0, time:0.000011>
<order:5, edges:8, delta:4, colors: 4, graph:17, type:1, time:0.000033>
<order:5, edges:8, delta:4, colors: 5, graph:17, type:2, time:0.001036>
<order:5, edges:8, delta:4, colors: 5, graph:17, type:3, time:1.945582>
<order:5, edges:7, delta:3, colors: 3, graph:18, type:0, time:0.000007>
<order:5, edges:7, delta:3, colors: 3, graph:18, type:1, time:0.000021>
<order:5, edges:7, delta:3, colors: 4, graph:18, type:2, time:0.000740>
<order:5, edges:7, delta:3, colors: 4, graph:18, type:3, time:0.179851>
<order:5, edges:8, delta:4, colors: 3, graph:19, type:0, time:0.000006>
<order:5, edges:8, delta:4, colors: 3, graph:19, type:1, time:0.000022>
<order:5, edges:8, delta:4, colors: 5, graph:19, type:2, time:0.000936>
<order:5, edges:8, delta:4, colors: 5, graph:19, type:3, time:1.602258>
<order:5, edges:9, delta:4, colors: 4, graph:20, type:0, time:0.000033>
<order:5, edges:9, delta:4, colors: 4, graph:20, type:1, time:0.000025>
<order:5, edges:9, delta:4, colors: 5, graph:20, type:2, time:0.006830>
<order:5, edges:9, delta:4, colors: 5, graph:20, type:3, time:11.239122>
<order:5, edges:10, delta:4, colors: 5, graph:21, type:0, time:0.000028>
<order:5, edges:10, delta:4, colors: 5, graph:21, type:1, time:0.000024>
<order:5, edges:10, delta:4, colors: 5, graph:21, type:2, time:0.026450>
<order:5, edges:10, delta:4, colors: 5, graph:21, type:3, time:61.577649>
<order:6, edges:5, delta:5, colors: 2, graph:1, type:0, time:0.000005>
<order:6, edges:5, delta:5, colors: 2, graph:1, type:1, time:0.000011>
<order:6, edges:5, delta:5, colors: 6, graph:1, type:2, time:0.000132>
<order:6, edges:5, delta:5, colors: 6, graph:1, type:3, time:0.000513>
<order:6, edges:5, delta:4, colors: 2, graph:2, type:0, time:0.000004>
<order:6, edges:5, delta:4, colors: 2, graph:2, type:1, time:0.000008>
<order:6, edges:5, delta:4, colors: 5, graph:2, type:2, time:0.000071>
<order:6, edges:5, delta:4, colors: 5, graph:2, type:3, time:0.007107>
<order:6, edges:6, delta:5, colors: 3, graph:3, type:0, time:0.000008>
<order:6, edges:6, delta:5, colors: 3, graph:3, type:1, time:0.000022>
<order:6, edges:6, delta:5, colors: 6, graph:3, type:2, time:0.000105>
<order:6, edges:6, delta:5, colors: 6, graph:3, type:3, time:0.019570>
<order:6, edges:5, delta:3, colors: 2, graph:4, type:0, time:0.000005>
<order:6, edges:5, delta:3, colors: 2, graph:4, type:1, time:0.000019>
<order:6, edges:5, delta:3, colors: 4, graph:4, type:2, time:0.000100>
<order:6, edges:5, delta:3, colors: 4, graph:4, type:3, time:0.019287>
<order:6, edges:5, delta:3, colors: 2, graph:5, type:0, time:0.000004>
<order:6, edges:5, delta:3, colors: 2, graph:5, type:1, time:0.000015>
<order:6, edges:5, delta:3, colors: 4, graph:5, type:2, time:0.000136>
<order:6, edges:5, delta:3, colors: 4, graph:5, type:3, time:0.013881>
<order:6, edges:6, delta:4, colors: 3, graph:6, type:0, time:0.000008>
<order:6, edges:6, delta:4, colors: 3, graph:6, type:1, time:0.000016>
<order:6, edges:6, delta:4, colors: 5, graph:6, type:2, time:0.000266>
<order:6, edges:6, delta:4, colors: 5, graph:6, type:3, time:0.078301>
<order:6, edges:6, delta:4, colors: 2, graph:7, type:0, time:0.000003>
<order:6, edges:6, delta:4, colors: 2, graph:7, type:1, time:0.000012>
<order:6, edges:6, delta:4, colors: 5, graph:7, type:2, time:0.000271>
<order:6, edges:6, delta:4, colors: 5, graph:7, type:3, time:0.075278>
<order:6, edges:7, delta:5, colors: 3, graph:8, type:0, time:0.000007>
<order:6, edges:7, delta:5, colors: 3, graph:8, type:1, time:0.000042>
<order:6, edges:7, delta:5, colors: 6, graph:8, type:2, time:0.001156>
<order:6, edges:7, delta:5, colors: 6, graph:8, type:3, time:0.340759>
<order:6, edges:6, delta:3, colors: 2, graph:9, type:0, time:0.000006>
<order:6, edges:6, delta:3, colors: 2, graph:9, type:1, time:0.000019>
<order:6, edges:6, delta:3, colors: 4, graph:9, type:2, time:0.001124>
<order:6, edges:6, delta:3, colors: 4, graph:9, type:3, time:0.112110>
<order:6, edges:7, delta:4, colors: 3, graph:10, type:0, time:0.000011>
<order:6, edges:7, delta:4, colors: 3, graph:10, type:1, time:0.000021>
<order:6, edges:7, delta:4, colors: 5, graph:10, type:2, time:0.001160>
<order:6, edges:7, delta:4, colors: 5, graph:10, type:3, time:0.926796>
<order:6, edges:7, delta:4, colors: 2, graph:11, type:0, time:0.000007>
<order:6, edges:7, delta:4, colors: 2, graph:11, type:1, time:0.000014>
<order:6, edges:7, delta:4, colors: 5, graph:11, type:2, time:0.000835>
<order:6, edges:7, delta:4, colors: 5, graph:11, type:3, time:0.898054>
<order:6, edges:8, delta:5, colors: 3, graph:12, type:0, time:0.000006>
<order:6, edges:8, delta:5, colors: 3, graph:12, type:1, time:0.000019>
<order:6, edges:8, delta:5, colors: 6, graph:12, type:2, time:0.002324>
<order:6, edges:8, delta:5, colors: 6, graph:12, type:3, time:5.328656>
<order:6, edges:8, delta:4, colors: 2, graph:13, type:0, time:0.000013>
<order:6, edges:8, delta:4, colors: 2, graph:13, type:1, time:0.000021>
<order:6, edges:8, delta:4, colors: 5, graph:13, type:2, time:0.004228>
<order:6, edges:8, delta:4, colors: 5, graph:13, type:3, time:8.923419>
<order:6, edges:9, delta:5, colors: 3, graph:14, type:0, time:0.000015>
<order:6, edges:9, delta:5, colors: 3, graph:14, type:1, time:0.000022>
<order:6, edges:9, delta:5, colors: 6, graph:14, type:2, time:0.017005>
<order:6, edges:9, delta:5, colors: 6, graph:14, type:3, time:72.271543>
<order:6, edges:5, delta:3, colors: 2, graph:15, type:0, time:0.000027>
<order:6, edges:5, delta:3, colors: 2, graph:15, type:1, time:0.000017>
<order:6, edges:5, delta:3, colors: 4, graph:15, type:2, time:0.000046>
<order:6, edges:5, delta:3, colors: 4, graph:15, type:3, time:0.018798>
<order:6, edges:6, delta:4, colors: 3, graph:16, type:0, time:0.000008>
<order:6, edges:6, delta:4, colors: 3, graph:16, type:1, time:0.000021>
<order:6, edges:6, delta:4, colors: 5, graph:16, type:2, time:0.000078>
<order:6, edges:6, delta:4, colors: 5, graph:16, type:3, time:0.101005>
<order:6, edges:7, delta:5, colors: 3, graph:17, type:0, time:0.000012>
<order:6, edges:7, delta:5, colors: 3, graph:17, type:1, time:0.000041>
<order:6, edges:7, delta:5, colors: 6, graph:17, type:2, time:0.000241>
<order:6, edges:7, delta:5, colors: 6, graph:17, type:3, time:0.444667>
<order:6, edges:6, delta:3, colors: 3, graph:18, type:0, time:0.000008>
<order:6, edges:6, delta:3, colors: 3, graph:18, type:1, time:0.000033>
<order:6, edges:6, delta:3, colors: 4, graph:18, type:2, time:0.000251>
<order:6, edges:6, delta:3, colors: 4, graph:18, type:3, time:0.065246>
<order:6, edges:5, delta:2, colors: 2, graph:19, type:0, time:0.000007>
<order:6, edges:5, delta:2, colors: 2, graph:19, type:1, time:0.000019>
<order:6, edges:5, delta:2, colors: 3, graph:19, type:2, time:0.000496>
<order:6, edges:5, delta:2, colors: 3, graph:19, type:3, time:0.007204>
<order:6, edges:6, delta:3, colors: 3, graph:20, type:0, time:0.000008>
<order:6, edges:6, delta:3, colors: 3, graph:20, type:1, time:0.000023>
<order:6, edges:6, delta:3, colors: 4, graph:20, type:2, time:0.000493>
<order:6, edges:6, delta:3, colors: 4, graph:20, type:3, time:1.649669>
<order:6, edges:6, delta:3, colors: 3, graph:21, type:0, time:0.000009>
<order:6, edges:6, delta:3, colors: 3, graph:21, type:1, time:0.000026>
<order:6, edges:6, delta:3, colors: 4, graph:21, type:2, time:0.000322>
<order:6, edges:6, delta:3, colors: 4, graph:21, type:3, time:1.617965>
<order:6, edges:7, delta:4, colors: 3, graph:22, type:0, time:0.000011>
<order:6, edges:7, delta:4, colors: 3, graph:22, type:1, time:0.000033>
<order:6, edges:7, delta:4, colors: 5, graph:22, type:2, time:0.001607>
<order:6, edges:7, delta:4, colors: 5, graph:22, type:3, time:0.416415>
<order:6, edges:6, delta:3, colors: 2, graph:23, type:0, time:0.000021>
<order:6, edges:6, delta:3, colors: 2, graph:23, type:1, time:0.000017>
<order:6, edges:6, delta:3, colors: 4, graph:23, type:2, time:0.000186>
<order:6, edges:6, delta:3, colors: 4, graph:23, type:3, time:0.121317>
<order:6, edges:7, delta:4, colors: 3, graph:24, type:0, time:0.000020>
<order:6, edges:7, delta:4, colors: 3, graph:24, type:1, time:0.000026>
<order:6, edges:7, delta:4, colors: 5, graph:24, type:2, time:0.000796>
<order:6, edges:7, delta:4, colors: 5, graph:24, type:3, time:1.088057>
<order:6, edges:7, delta:4, colors: 3, graph:25, type:0, time:0.000007>
<order:6, edges:7, delta:4, colors: 3, graph:25, type:1, time:0.000025>
<order:6, edges:7, delta:4, colors: 5, graph:25, type:2, time:0.000625>
<order:6, edges:7, delta:4, colors: 5, graph:25, type:3, time:0.414010>
<order:6, edges:8, delta:5, colors: 3, graph:26, type:0, time:0.000027>
<order:6, edges:8, delta:5, colors: 3, graph:26, type:1, time:0.000019>
<order:6, edges:8, delta:5, colors: 6, graph:26, type:2, time:0.001851>
<order:6, edges:8, delta:5, colors: 6, graph:26, type:3, time:2.133506>
<order:6, edges:7, delta:4, colors: 3, graph:27, type:0, time:0.000017>
<order:6, edges:7, delta:4, colors: 3, graph:27, type:1, time:0.000092>
