<order:3, edges:3, delta:2, colors: 3, graph:1, type:0, time:0.000005>
<order:3, edges:3, delta:2, colors: 3, graph:1, type:1, time:0.000008>
<order:4, edges:6, delta:3, colors: 4, graph:1, type:0, time:0.000012>
<order:4, edges:6, delta:3, colors: 4, graph:1, type:1, time:0.000079>
<order:5, edges:10, delta:4, colors: 5, graph:1, type:0, time:0.000028>
<order:5, edges:10, delta:4, colors: 5, graph:1, type:1, time:0.000035>
<order:6, edges:15, delta:5, colors: 6, graph:1, type:0, time:0.000071>
<order:6, edges:15, delta:5, colors: 6, graph:1, type:1, time:0.000048>
<order:7, edges:21, delta:6, colors: 7, graph:1, type:0, time:0.000536>
<order:7, edges:21, delta:6, colors: 7, graph:1, type:1, time:0.000183>
<order:8, edges:28, delta:7, colors: 8, graph:1, type:0, time:0.010272>
<order:8, edges:28, delta:7, colors: 8, graph:1, type:1, time:0.000867>
<order:9, edges:36, delta:8, colors: 9, graph:1, type:0, time:0.145587>
<order:9, edges:36, delta:8, colors: 9, graph:1, type:1, time:0.004777>
<order:10, edges:45, delta:9, colors: 10, graph:1, type:0, time:3.057997>
<order:10, edges:45, delta:9, colors: 10, graph:1, type:1, time:0.028891>
<order:11, edges:55, delta:10, colors: 11, graph:1, type:0, time:74.711410>
<order:11, edges:55, delta:10, colors: 11, graph:1, type:1, time:0.166153>
<order:12, edges:66, delta:11, colors: 12, graph:1, type:0, time:1949.161403>
<order:12, edges:66, delta:11, colors: 12, graph:1, type:1, time:1.105592>
<order:13, edges:78, delta:12, colors: 13, graph:1, type:1, time:7.917341>
<order:14, edges:91, delta:13, colors: 14, graph:1, type:1, time:57.828168>
<order:15, edges:105, delta:14, colors: 15, graph:1, type:1, time:453.873837>
<order:3, edges:3, delta:2, colors: 3, graph:1, type:1, time:0.000013>
<order:4, edges:6, delta:3, colors: 4, graph:1, type:1, time:0.000286>
<order:5, edges:10, delta:4, colors: 5, graph:1, type:1, time:0.000032>
<order:6, edges:15, delta:5, colors: 6, graph:1, type:1, time:0.000054>
<order:3, edges:3, delta:2, colors: 3, graph:1, type:1, time:0.000018>
<order:4, edges:6, delta:3, colors: 4, graph:1, type:1, time:0.000249>
<order:5, edges:10, delta:4, colors: 5, graph:1, type:1, time:0.000022>
<order:6, edges:15, delta:5, colors: 6, graph:1, type:1, time:0.000022>
<order:7, edges:21, delta:6, colors: 7, graph:1, type:1, time:0.000046>
<order:8, edges:28, delta:7, colors: 8, graph:1, type:1, time:0.000288>
<order:9, edges:36, delta:8, colors: 9, graph:1, type:1, time:0.000263>
<order:10, edges:45, delta:9, colors: 10, graph:1, type:1, time:0.000785>
<order:11, edges:55, delta:10, colors: 11, graph:1, type:1, time:0.002219>
<order:12, edges:66, delta:11, colors: 12, graph:1, type:1, time:0.007615>
<order:3, edges:3, delta:2, colors: 3, graph:1, type:1, time:0.000018>
<order:4, edges:6, delta:3, colors: 4, graph:1, type:1, time:0.000273>
<order:5, edges:10, delta:4, colors: 5, graph:1, type:1, time:0.000024>
<order:6, edges:15, delta:5, colors: 6, graph:1, type:1, time:0.000036>
<order:7, edges:21, delta:6, colors: 7, graph:1, type:1, time:0.000048>
<order:8, edges:28, delta:7, colors: 8, graph:1, type:1, time:0.000151>
<order:9, edges:36, delta:8, colors: 9, graph:1, type:1, time:0.000305>
<order:10, edges:45, delta:9, colors: 10, graph:1, type:1, time:0.001143>
<order:11, edges:55, delta:10, colors: 11, graph:1, type:1, time:0.002169>
<order:12, edges:66, delta:11, colors: 12, graph:1, type:1, time:0.007667>
<order:13, edges:78, delta:12, colors: 13, graph:1, type:1, time:0.028288>
<order:14, edges:91, delta:13, colors: 14, graph:1, type:1, time:0.095017>
<order:15, edges:105, delta:14, colors: 15, graph:1, type:1, time:0.337557>
<order:3, edges:3, delta:2, colors: 3, graph:1, type:1, time:0.012750>
<order:4, edges:6, delta:3, colors: 4, graph:1, type:1, time:0.008387>
<order:5, edges:10, delta:4, colors: 5, graph:1, type:1, time:0.008531>
<order:6, edges:15, delta:5, colors: 6, graph:1, type:1, time:0.010627>
<order:7, edges:21, delta:6, colors: 7, graph:1, type:1, time:0.011940>
<order:8, edges:28, delta:7, colors: 8, graph:1, type:1, time:0.011495>
<order:9, edges:36, delta:8, colors: 9, graph:1, type:1, time:0.012938>
<order:10, edges:45, delta:9, colors: 10, graph:1, type:1, time:0.015176>
<order:11, edges:55, delta:10, colors: 11, graph:1, type:1, time:0.019339>
<order:12, edges:66, delta:11, colors: 12, graph:1, type:1, time:0.024181>
<order:13, edges:78, delta:12, colors: 13, graph:1, type:1, time:0.045998>
<order:14, edges:91, delta:13, colors: 14, graph:1, type:1, time:0.117694>
<order:15, edges:105, delta:14, colors: 15, graph:1, type:1, time:0.375464>
<order:3, edges:3, delta:2, colors: 3, graph:1, type:1, time:0.007178>
<order:4, edges:6, delta:3, colors: 4, graph:1, type:1, time:0.008304>
<order:5, edges:10, delta:4, colors: 5, graph:1, type:1, time:0.009484>
<order:6, edges:15, delta:5, colors: 6, graph:1, type:1, time:0.010432>
<order:7, edges:21, delta:6, colors: 7, graph:1, type:1, time:0.011031>
<order:8, edges:28, delta:7, colors: 8, graph:1, type:1, time:0.012085>
<order:9, edges:36, delta:8, colors: 9, graph:1, type:1, time:0.013766>
<order:10, edges:45, delta:9, colors: 10, graph:1, type:1, time:0.015487>
<order:11, edges:55, delta:10, colors: 11, graph:1, type:1, time:0.017836>
<order:12, edges:66, delta:11, colors: 12, graph:1, type:1, time:0.024755>
<order:13, edges:78, delta:12, colors: 13, graph:1, type:1, time:0.045434>
<order:14, edges:91, delta:13, colors: 14, graph:1, type:1, time:0.116595>
<order:15, edges:105, delta:14, colors: 15, graph:1, type:1, time:0.376071>
<order:3, edges:3, delta:2, colors: 3, graph:1, type:1, time:0.008626>
<order:4, edges:6, delta:3, colors: 4, graph:1, type:1, time:0.007869>
<order:5, edges:10, delta:4, colors: 5, graph:1, type:1, time:0.009351>
<order:6, edges:15, delta:5, colors: 6, graph:1, type:1, time:0.009406>
<order:7, edges:21, delta:6, colors: 7, graph:1, type:1, time:0.010926>
<order:8, edges:28, delta:7, colors: 8, graph:1, type:1, time:0.012575>
<order:9, edges:36, delta:8, colors: 9, graph:1, type:1, time:0.013090>
<order:10, edges:45, delta:9, colors: 10, graph:1, type:1, time:0.014996>
<order:11, edges:55, delta:10, colors: 11, graph:1, type:1, time:0.018242>
<order:12, edges:66, delta:11, colors: 12, graph:1, type:1, time:0.025001>
<order:13, edges:78, delta:12, colors: 13, graph:1, type:1, time:0.052566>
<order:14, edges:91, delta:13, colors: 14, graph:1, type:1, time:0.118679>
<order:15, edges:105, delta:14, colors: 15, graph:1, type:1, time:0.342932>
<order:3, edges:3, delta:2, colors: 3, graph:1, type:1, time:0.007573>
<order:4, edges:6, delta:3, colors: 4, graph:1, type:1, time:0.008592>
<order:5, edges:10, delta:4, colors: 5, graph:1, type:1, time:5.443290>
